ZIPCode,RegionName,State,Metro,CountyName,MOM,YOY,CurrentPrice
20002,20002,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.12705613995949117,-5.1525335030408135,618260.8705069289
20011,20011,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.18398972659533824,-5.582574291649929,616076.3156737143
20019,20019,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.515106534755937,-5.2952154747245626,363698.5711044633
20020,20020,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.4463567603796197,-6.339733347217185,368430.0717839448
20009,20009,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,0.04323987748310023,-1.3863991615704039,578906.3128711038
20001,20001,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.10642557608206457,-3.7367872660317194,645104.1997284648
20032,20032,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.8146423948781943,-6.374518515880008,335635.9328798225
20016,20016,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.14004459956999252,0.31942471272755324,1096296.2556681717
20010,20010,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.05908276314939428,-4.595453618920508,704261.3872292219
20003,20003,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,0.08587074850900943,-2.756976080777857,822478.9608174721
20007,20007,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,0.2729346098739218,1.9374813493113812,1239562.2191260364
20008,20008,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.08183839634723428,-0.038985124589440645,835976.9584148118
20017,20017,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.17901568277956795,-4.431538663360845,532215.1959124879
20018,20018,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.15854804944070378,-4.44256361811021,547159.9949532604
20012,20012,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,0.032994905348963446,-1.6342956844977286,770739.0808504795
20015,20015,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,0.0213507139057069,0.279875398596319,1346125.8036585916
20005,20005,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.04546194608751003,-1.9121957887658878,507914.47861588857
20024,20024,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-1.0293344869307983,-4.867914312335593,397740.8513514501
20037,20037,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.44943396734842667,-2.4250796302927395,553128.344241267
20036,20036,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.3190580368769984,-1.5163256542481451,381635.96832518064
20004,20004,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-0.1696887233027415,-0.6565022507611046,438901.4693305702
20006,20006,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,-1.096701721080359,-5.78085939753718,240203.03536381747
